Title,Latitude,Longitude,Devices,Etc
Sheraton,42.3465151,-71.0839224,"accs-sheraton-fl10,accs-sheraton-fl11,accs-sheraton-fl12,accs-sheraton-fl13,accs-sheraton-fl14,accs-sheraton-fl15,accs-sheraton-fl16,accs-sheraton-fl17,accs-sheraton-fl18,accs-sheraton-fl19,accs-sheraton-fl20,accs-sheraton-fl21,accs-sheraton-fl22,accs-sheraton-fl23,accs-sheraton-fl24,accs-sheraton-fl25,accs-sheraton-fl26,accs-sheraton-fl27,accs-sheraton-fl28,accs-sheraton-fl29,accs-sheraton-fl5,accs-sheraton-fl6,accs-sheraton-fl7,accs-sheraton-fl8,accs-sheraton-fl9",
Shillman Hall,42.3375534,-71.0901908,"accs-sh-105av-1,accs-sh-135av-1,accs-sh-210av-1,accs-sh-215av-1,accs-sh-220av-1,accs-sh-305av-1,accs-sh-315av-1,accs-sh-325av-1,accs-sh-335av-1,accs-sh-415av-1,accs-sh-420av-1,accs-sh-425av-1,accs-sh-243-1",
Smith Hall,42.3425089,-71.0905952,"accs-sm-100d3-1,accs-sm-002-1,accs-sm-100d1-1",
Snell Engineering,42.3382846,-71.0888608,"accs-sn-112-1,accs-sn-212-1,accs-sn-280-1,accs-sn-312-1,accs-sn-412-1",
Snell Library,42.3383962,-71.0880713,"accs-sl-cdf-1,accs-slcdf-mgt-1,accs-sl-113-1,accs-sl-148-1,accs-sl-148-2,accs-sl-230-2,accs-sl-230-1,accs-sl-268-1,accs-sl-320-1,accs-sl-368-1,accs-sl-68-1,accs-sl-79-1",
Speare,42.3406995,-71.0897018,"accs-spe-100m6-1,accs-spe-100m6-2,accs-spe-200m6-1,accs-spe-300m6-1,accs-spe-400m6-1,accs-spw-100m5-1,accs-spw-100m5-2,accs-spw-200m5-1,accs-spw-300m5-1,accs-spw-400m5-1",
Squashbusters,42.3379555,-71.0858607,accs-sb-426-1,
St. Stephens St.,42.3418691,-71.0875009,"accs-ss-006d1-1,accs-122ss-010-1,accs-ss-011-1,accs-ss-106-1",
Stearns Hall,42.3389991,-71.0913737,"accs-st-121-1,accs-st-406-1",
Stetson Center,42.3411009,-71.0898684,"accs-sc-100-1,accs-sc-200-1,accs-sc-300-1,accs-sc-400-1",
Stetson East,42.3414082,-71.0902123,"accs-stecdf-mgt-1,accs-se-cdf-1,accs-se-112-1,accs-se-212-1,accs-se-312-1,accs-se-412-1",
Stetson West,42.3408045,-71.0908214,"accs-stw-021-1,accs-sw-100-1,accs-sw-200-1,accs-sw-300-1,accs-sw-400-1",
Toronto - 100 King St. West,43.6486111,-79.3816667,accs-to-46014-1,off-campus
West Village A,42.3373714,-71.0931066,"accs-wvan-110-1,accs-wvan-1200-1,accs-wvan-300-1,accs-wvan-600-1,accs-wvan-900-1,accs-wvas-300-1,accs-wvas-500-1",
West Village B,42.3376245,-71.0920952,"accs-wvb-100-1,accs-wvb-100-2",
West Village C,42.3369288,-71.0924557,"accs-wvc-112-2,accs-wvc-112-1",
West Village E,42.33645,-71.0914,"accs-wve-015-1,accs-wve-500m4-1,accs-wve-500m6-1,accs-wve-800m4-1,accs-wve-800m8-1",
West Village F,42.3373567,-71.0915888,"accs-wvf-170a-1,accs-wvf-044-1,accs-wvf-102av-1,accs-wvf-400-1,accs-wvf-400-2",
West Village G,42.3379861,-71.0921503,"accs-wvg-200-1,accs-wvg-500-1",
West Village H,42.3385915,-71.0923,"accs-wvh-020-1,accs-wvh-102-1,accs-wvh-1604-2,accs-wvh-1604-1,accs-wvh-206-1,accs-wvh-304-1",
Westin Hotel,42.3483206,-71.0774615,"accs-ws-1500-2,accs-ws-1100-2,accs-ws-1800-2,accs-ws-2600-2,accs-ws-1000-2,accs-ws-1900-2,accs-ws-2200-2,accs-ws-300-2,accs-ws-2500-2,accs-ws-2100-2,accs-ws-1700-2,accs-ws-1600-2,accs-ws-2000-2,accs-ws-500-2,accs-ws-1200-2,accs-ws-1400-2,accs-ws-2300-2,accs-ws-1300-2,accs-ws-2400-2,accs-ws-200-2,accs-ws-1400-1,accs-ws-2300-1,accs-ws-1300-1,accs-ws-2400-1,accs-ws-1800-1,accs-ws-1500-1,accs-ws-1100-1,accs-ws-2200-1,accs-ws-2600-1,accs-ws-1000-1,accs-ws-2500-1,accs-ws-2100-1,accs-ws-1200-1,accs-ws-1600-1,accs-ws-200-1,accs-ws-newb-1,accs-ws-500-1,accs-ws-300-1,accs-ws-essex-sth-1,accs-ws-1900-1,accs-ws-1700-1,accs-ws-2000-1,accs-ws-essex-1,accs-ws-stga-1,accs-ws-sfshire-1",
White Hall,42.3398822,-71.0912896,"accs-wh-214-1,accs-wh-231-1,accs-wh-245-1",
Willis Hall,42.3381783,-71.0913434,"accs-wi-100-1,accs-wi-500-1",
